Zeit (ms),Druck (hPa),Höhe (m),Temperatur (C),GX,GY,GZ
9426,1023.79,-1.32,24.59,4.16,-1.94,6.16
9454,1023.79,-1.32,24.59,4.09,-1.63,5.72
9482,1023.60,0.25,24.59,4.03,-1.34,5.47
9512,1023.79,-1.32,24.59,4.22,-1.56,6.56
9540,1023.79,-1.32,24.59,4.22,-1.09,7.44
9569,1023.79,-1.32,24.59,4.09,-0.66,8.22
9596,1023.99,-2.97,24.59,4.31,0.12,8.03
9624,1023.79,-1.32,24.59,4.59,-0.31,8.66
9652,1023.79,-1.32,24.59,4.66,-0.75,8.84
9680,1023.79,-1.32,24.59,4.50,-0.37,8.03
9708,1023.99,-2.97,24.59,4.69,0.31,8.28
9736,1023.79,-1.32,24.59,4.84,0.63,8.75
9763,1023.76,-1.07,24.57,4.81,0.25,9.38
9791,1023.99,-2.97,24.59,5.00,0.59,9.66
9820,1023.79,-1.32,24.59,5.06,0.75,9.53
9847,1023.79,-1.32,24.59,5.16,0.63,9.47
9878,1023.79,-1.32,24.59,4.97,0.37,8.59
9906,1023.79,-1.32,24.59,5.16,0.06,8.94
9933,1023.79,-1.32,24.59,5.00,0.22,9.03
9961,1023.79,-1.32,24.59,4.94,0.94,7.91
9990,1023.79,-1.32,24.59,4.47,0.75,7.59
10017,1023.60,0.25,24.59,4.47,0.91,8.00
10045,1023.79,-1.32,24.59,4.53,0.84,8.81
10073,1023.79,-1.32,24.59,4.09,-0.56,7.78
10101,1023.79,-1.32,24.59,3.88,-1.22,6.56
10129,1023.79,-1.32,24.59,3.38,-1.47,5.97
10157,1023.79,-1.32,24.59,3.41,-1.94,5.03
10184,1023.79,-1.32,24.59,2.84,-2.22,4.84
10216,1023.79,-1.32,24.59,2.47,-2.50,4.94
10244,1023.79,-1.32,24.59,2.31,-2.44,6.69
10271,1023.79,-1.32,24.59,1.34,-3.66,5.16
10299,1023.76,-1.07,24.57,1.34,-4.16,4.38
10328,1023.76,-1.07,24.57,1.37,-3.78,4.88
10355,1023.56,0.58,24.57,0.91,-4.09,5.53
10383,1023.79,-1.32,24.59,0.44,-5.09,4.94
10412,1023.76,-1.07,24.57,0.03,-5.56,4.50
10439,1023.79,-1.32,24.59,0.06,-5.81,4.78
10467,1023.79,-1.32,24.59,-0.22,-5.81,4.69
10494,1023.56,0.58,24.57,-0.09,-6.22,5.63
10523,1023.76,-1.07,24.57,-0.66,-7.13,5.63
10554,1023.76,-1.07,24.57,-0.53,-7.53,5.69
10582,1023.76,-1.07,24.57,-0.75,-7.41,5.44
10609,1023.56,0.58,24.57,-1.03,-6.97,5.47
10638,1023.76,-1.07,24.57,-1.12,-7.16,6.63
10665,1023.76,-1.07,24.57,-0.47,-7.16,7.88
10693,1023.76,-1.07,24.57,-0.69,-6.28,7.59
10722,1023.96,-2.73,24.57,-0.66,-5.81,6.66
10749,1023.76,-1.07,24.57,-0.72,-5.50,7.06
10777,1023.76,-1.07,24.57,-0.41,-5.66,8.25
10806,1023.76,-1.07,24.57,-0.59,-5.28,7.03
10833,1023.76,-1.07,24.57,-0.63,-4.97,6.09
10861,1023.76,-1.07,24.57,-0.50,-5.25,6.47
10892,1023.76,-1.07,24.57,-0.31,-5.66,6.97
10920,1023.76,-1.07,24.57,-0.84,-5.22,7.31
10948,1023.76,-1.07,24.57,-0.63,-5.06,7.00
10976,1023.76,-1.07,24.57,-0.50,-5.44,6.72
11004,1023.76,-1.07,24.57,-1.28,-4.59,4.97
11032,1023.76,-1.07,24.57,-0.66,-5.25,7.22
11060,1023.76,-1.07,24.57,-0.47,-5.00,6.75
11088,1023.96,-2.73,24.57,-0.75,-6.00,7.22
11116,1023.56,0.58,24.57,-0.97,-5.38,7.53
11144,1023.76,-1.07,24.57,-1.72,-4.50,8.09
11172,1023.76,-1.07,24.57,-0.91,-5.00,7.16
11203,1023.76,-1.07,24.57,-0.53,-5.25,6.34
11231,1023.56,0.58,24.57,-0.12,-5.44,7.59
11258,1023.76,-1.07,24.57,-0.31,-4.44,7.03
11286,1023.76,-1.07,24.57,-0.34,-4.94,6.88
11315,1023.76,-1.07,24.57,0.00,-5.53,6.88
11342,1023.76,-1.07,24.57,-0.16,-4.88,6.41
11370,1023.76,-1.07,24.57,0.00,-4.63,7.13
11399,1023.76,-1.07,24.57,-0.31,-4.16,6.84
11426,1023.76,-1.07,24.57,0.00,-5.25,6.53
11454,1023.76,-1.07,24.57,-0.03,-5.22,6.63
11483,1023.76,-1.07,24.57,-0.03,-5.22,6.47
11510,1023.76,-1.07,24.57,-0.25,-4.97,7.22
11541,1023.76,-1.07,24.57,-0.28,-4.72,6.88
11569,1023.99,-2.97,24.59,-0.06,-5.31,6.75
11597,1023.76,-1.07,24.57,-0.41,-4.94,6.66
11625,1023.76,-1.07,24.57,-0.22,-5.00,6.56
11653,1023.96,-2.73,24.57,-0.34,-4.66,7.06
11681,1023.76,-1.07,24.57,-0.16,-5.06,6.91
11709,1023.76,-1.07,24.57,-0.25,-4.75,6.78
11737,1023.76,-1.07,24.57,-0.12,-4.84,7.09
11765,1023.76,-1.07,24.57,-0.09,-4.81,7.06
11793,1023.79,-1.32,24.59,-0.09,-5.00,6.91
11821,1023.56,0.58,24.57,-0.03,-4.97,6.91
11849,1023.79,-1.32,24.59,0.06,-4.75,6.88
11887,1023.76,-1.07,24.57,-0.19,-4.97,6.75
11915,1023.76,-1.07,24.57,-0.06,-4.56,7.22
11943,1023.79,-1.32,24.59,-0.16,-4.22,7.16
11971,1023.79,-1.32,24.59,-0.06,-4.66,6.94
11999,1023.76,-1.07,24.57,-0.06,-4.59,7.06
12027,1023.79,-1.32,24.59,-0.09,-4.28,7.28
12055,1023.79,-1.32,24.59,-0.19,-4.38,6.97
12084,1023.79,-1.32,24.59,-0.19,-4.81,7.09
12111,1023.79,-1.32,24.59,-0.19,-4.50,7.16
12139,1023.79,-1.32,24.59,-0.22,-4.56,7.03
12168,1023.76,-1.07,24.57,-0.41,-4.34,7.00
12198,1023.79,-1.32,24.59,-0.25,-4.69,7.09
12226,1023.76,-1.07,24.57,-0.25,-4.44,7.34
12254,1023.76,-1.07,24.57,-0.09,-4.53,7.00
12282,1023.79,-1.32,24.59,-0.12,-4.66,7.06
12310,1023.79,-1.32,24.59,-0.09,-4.38,7.16
12338,1023.99,-2.97,24.59,-0.12,-4.38,7.06
12366,1023.60,0.25,24.59,-0.06,-4.47,7.22
12394,1023.79,-1.32,24.59,-0.06,-4.63,7.16
12422,1023.79,-1.32,24.59,-0.25,-4.19,6.91
12450,1023.99,-2.97,24.59,-0.12,-4.25,7.09
12478,1023.79,-1.32,24.59,-0.06,-4.34,7.59
12506,1023.79,-1.32,24.59,-0.12,-4.28,7.03
12536,1023.99,-2.97,24.59,-0.16,-4.13,7.06
12565,1023.79,-1.32,24.59,-0.03,-4.16,7.41
